ticker,drift,volatility
ED,0.041591203516074336,0.17844529642142196
EFX,0.11233201011594204,0.2556511290457925
EIX,0.010392157988128837,0.2245821551386081
EL,0.09878102809691015,0.28333763118263233
EMN,0.02328794357126131,0.26953993505535045
EMR,0.0644198406382099,0.24022301655972958
ENPH,0.462443182355154,0.7195746771444539
EOG,0.013584582235556907,0.41265175135813853
EQIX,0.13660454837504404,0.22611248694650085
EQR,0.0016944495790854612,0.21354266703199012
ESS,0.0279481944671378,0.21349630787201093
ETN,0.14630082492532553,0.2509433490584892
ETR,0.05176390582640806,0.20135601110180076
EW,0.17135865893843003,0.2942497583176923
EXC,0.025009699107647394,0.2243259666746812
EXPD,0.11462813880812135,0.20718429704585506
EXPE,0.031188410673420642,0.37600820751634967
EXR,0.1099554103927058,0.22607452469749925
