ticker,drift,t,lower_bound_drift,upper_bound_drift,volatility
CSX,0.14273254966641158,1.96,0.1418683001635744,0.14359679916924875,0.24165960571569092
CTAS,0.23564901462979276,1.96,0.2347847651269556,0.23651326413262994,0.22417555962991165
CTSH,0.021780395881104708,1.96,0.020916146378267532,0.022644645383941883,0.330334561294185
CVS,-0.019627238480754677,1.96,-0.020491487983591853,-0.0187629889779175,0.24312342966480793
CVX,0.037748608080161075,1.96,0.0368843585773239,0.03861285758299825,0.24896702100744872
CZR,0.20090728430403665,1.96,0.20004303480119948,0.20177153380687382,0.6317557410763205
D,-0.02336209835259872,1.96,-0.024226347855435895,-0.022497848849761543,0.1910473186149344
DAL,-0.007833918422282364,1.96,-0.008698167925119538,-0.006969668919445189,0.36544212980716984
DE,0.18494860188485035,1.96,0.18408435238201318,0.18581285138768752,0.25489093903609766
DFS,0.0822042406723143,1.96,0.08133999116947713,0.08306849017515147,0.33787599692824444
DG,0.1123075068016872,1.96,0.11144325729885003,0.11317175630452438,0.2700644259962883
DGX,0.08637723200000952,1.96,0.08551298249717235,0.08724148150284669,0.21094776751030833
DHI,0.18434058975567652,1.96,0.18347634025283935,0.1852048392585137,0.30719187756201616
DHR,0.17412288142482216,1.96,0.17325863192198498,0.17498713092765933,0.20456401542131977
DIS,0.017137979335270993,1.96,0.016273729832433817,0.018002228838108168,0.24172566679000201
DLR,0.07824315237352054,1.96,0.07737890287068337,0.07910740187635772,0.2361254457133396
DLTR,0.06791947186077747,1.96,0.0670552223579403,0.06878372136361464,0.3040056695903897
DOV,0.09381163452570086,1.96,0.09294738502286369,0.09467588402853803,0.24854520324099097
DPZ,0.17066490313330493,1.96,0.16980065363046776,0.1715291526361421,0.2571535650501569
DRI,0.11137384961248628,1.96,0.11050960010964911,0.11223809911532345,0.3149235269951717
DTE,0.041677162799730494,1.96,0.04081291329689332,0.042541412302567666,0.19692665728322986
DUK,0.03584178929143986,1.96,0.034977539788602685,0.03670603879427703,0.1721317804116679
DVA,0.05797114133863471,1.96,0.057106891835797535,0.05883539084147188,0.2851528641742935
DVN,-0.02019295264935152,1.96,-0.021057202152188696,-0.019328703146514345,0.4557377710362473
EA,0.11136937476621651,1.96,0.11050512526337934,0.11223362426905369,0.2530836841025062
EBAY,0.08898436507427869,1.96,0.08812011557144152,0.08984861457711586,0.2625030137324054
ECL,0.07261010386745607,1.96,0.0717458543646189,0.07347435337029325,0.20892886713852923
ED,0.041591203516074336,1.96,0.040726954013237164,0.04245545301891151,0.17844529642142196
EFX,0.11233201011594204,1.96,0.11146776061310487,0.11319625961877922,0.2556511290457925
EIX,0.010392157988128837,1.96,0.009527908485291663,0.01125640749096601,0.2245821551386081
EL,0.09878102809691015,1.96,0.09791677859407298,0.09964527759974733,0.28333763118263233
EMN,0.02328794357126131,1.96,0.022423694068424135,0.024152193074098487,0.26953993505535045
EMR,0.0644198406382099,1.96,0.06355559113537272,0.06528409014104707,0.24022301655972958
ENPH,0.462443182355154,1.96,0.4615789328523168,0.4633074318579912,0.7195746771444539
EOG,0.013584582235556907,1.96,0.012720332732719733,0.01444883173839408,0.41265175135813853
EQIX,0.13660454837504404,1.96,0.13574029887220687,0.13746879787788122,0.22611248694650085
EQR,0.0016944495790854612,1.96,0.0008302000762482866,0.002558699081922636,0.21354266703199012
ESS,0.0279481944671378,1.96,0.027083944964300624,0.028812443969974975,0.21349630787201093
ETN,0.14630082492532553,1.96,0.14543657542248836,0.1471650744281627,0.2509433490584892
ETR,0.05176390582640806,1.96,0.05089965632357089,0.05262815532924523,0.20135601110180076
EW,0.17135865893843003,1.96,0.17049440943559285,0.1722229084412672,0.2942497583176923
EXC,0.025009699107647394,1.96,0.02414544960481022,0.02587394861048457,0.2243259666746812
EXPD,0.11462813880812135,1.96,0.11376388930528418,0.11549238831095852,0.20718429704585506
EXPE,0.031188410673420642,1.96,0.030324161170583466,0.03205266017625782,0.37600820751634967
EXR,0.1099554103927058,1.96,0.10909116088986863,0.11081965989554297,0.22607452469749925
F,-0.01843599791478546,1.96,-0.019300247417622634,-0.017571748411948283,0.3212726519570094
FANG,0.06838932268308458,1.96,0.0675250731802474,0.06925357218592175,0.4645276043848002
FAST,0.12898321784665126,1.96,0.1281189683438141,0.12984746734948843,0.22851738660439128
